key_mlbam,name
673929,jordan leasure
683232,nick mears
700249,cade povich
681895,evan sisk
682847,luis ortiz
656427,jack flaherty
642528,jonathan loáisiga
663562,noah davis
805123,aj blubaugh
676428,brant hurter
663767,chase shugart
657424,matt gage
621053,tyler ferguson
663546,sean hjelle
605121,justin anderson
686799,jack kochanowicz
663556,shane mcclanahan
628317,kenta maeda
677649,ezequiel duran
641312,shaun anderson
605242,michael fulmer
669211,keegan akin
680684,gunnar hoglund
668678,zac gallen
676974,max meyer
676604,tyler zuber
687473,ryan gusto
663903,brady singer
623352,josh hader
681293,spencer arrighetti
661403,emmanuel clase
518876,merrill kelly
685801,hunter bigge
680732,sean burke
676661,max lazar
642397,gregory soto
656605,mitch keller
687223,carson palmquist
701656,logan henderson
571466,tucker barnhart
643377,griffin jax
656629,michael kopech
690544,bailey horn
685126,brandon eisert
664747,alexis díaz
687362,connor gillispie
