key_mlbam,full_name
605361,nick martini
621566,matt olson
695506,jac caglianone
606192,teoscar hernández
673962,josh jung
606466,ketel marte
669398,gage workman
660688,keibert ruiz
678009,parker meadows
677954,jordan groshans
674441,jacob hurtubise
679032,johan rojas
664983,jake mccarthy
664059,sam haggerty
670156,miles mastrobuoni
665561,rafael marchán
663656,kyle tucker
643289,mauricio dubón
593428,xander bogaerts
681481,kerry carpenter
641943,joshua palacios
641658,garrett hampson
677008,heston kjerstad
663662,daz cameron
683146,brett baty
681460,brooks baldwin
687957,dustin harris
663609,luken baker
807713,matt shaw
686894,joey wiemer
669257,will smith
672284,jarred kelenic
628451,andy ibáñez
682848,endy rodríguez
686780,pedro pagés
664774,lamonte wade
657557,paul dejong
663967,césar salazar
665742,juan soto
605137,josh bell
608070,josé ramírez
624413,pete alonso
656582,connor joe
656248,sean bouchard
642133,rowdy tellez
621493,taylor ward
669134,luis campusano
663796,coco montes
686611,dylan crews
679529,spencer torkelson
608324,alex bregman
602104,ramón urías
683083,nasim nuñez
668885,austin martin
666182,bo bichette
677588,josé tena
660821,jesús sánchez
669743,alex call
665019,kody clemens
645801,mike ford
689414,liam hicks
687363,victor scott
527038,wilmer flores
682829,elly de la cruz
656185,greg allen
514888,josé altuve
680118,dairon blanco
542932,jon berti
669137,armando alvarez
665862,jazz chisholm
663731,connor kaiser
545361,mike trout
663968,jake mangum
457705,andrew mccutchen
605141,mookie betts
686554,oliver dunn
656305,matt chapman
669397,nick allen
695238,will wagner
677649,ezequiel duran
666149,tyler fitzgerald
641584,jake fraley
607043,brandon nimmo
686469,vinnie pasquantino
669288,daniel johnson
687597,jordan beck
606992,eric haase
595777,jurickson profar
676116,ryan noda
642731,thairo estrada
663837,matt vierling
645305,ali sánchez
682622,noelvi marte
682177,daniel schneemann
656555,rhys hoskins
671213,triston casas
656541,sam hilliard
624431,jose trevino
669065,kyle stowers
457759,justin turner
621028,kevin newman
690924,braxton fulford
682998,corbin carroll
571466,tucker barnhart
680977,brendan donovan
690022,ryan ritter
