player_id,First Pitch Total,First Pitch In-Play #,First Pitch Ball #,First Pitch Called Strike #,First Pitch Swinging Strike #,First Pitch Foul #,First Pitch Hit #,First Pitch xBA,First Pitch In-Play %,First Pitch Ball %,First Pitch Strike %,key_mlbam,player_name,Team
605463,122,17,50,35,7,9,5,0.425,0.139,0.41,0.418,605463.0,tayler scott,AZ
605483,46,8,14,11,4,6,3,0.525,0.174,0.304,0.457,605483.0,blake snell,LAD
605488,390,45,153,109,27,46,16,0.339,0.115,0.392,0.467,605488.0,jeffrey springs,DET
605507,12,1,7,3,0,1,0,0.211,0.083,0.583,0.333,605507.0,zach thompson,TOR
605513,33,6,10,13,2,1,5,0.509,0.182,0.303,0.485,605513.0,spencer turnbull,TOR
606160,119,8,38,36,15,20,1,0.402,0.067,0.319,0.597,606160.0,rafael montero,ATL
606303,83,14,24,30,5,10,6,0.278,0.169,0.289,0.542,606303.0,joel payamps,MIL
606930,36,4,18,8,4,2,3,0.566,0.111,0.5,0.389,606930.0,jacob barnes,TOR
606965,19,0,7,10,1,1,0,,0.0,0.368,0.632,606965.0,chris devenski,PHI
606996,110,17,39,36,5,10,4,0.314,0.155,0.355,0.464,606996.0,kyle hart,SD
607067,332,45,95,123,19,45,15,0.379,0.136,0.286,0.563,607067.0,colin rea,HOU
607074,425,42,166,126,37,44,10,0.296,0.099,0.391,0.487,607074.0,carlos rodón,TOR
607179,3,0,1,1,0,1,0,,0.0,0.333,0.667,607179.0,jordan weems,HOU
607192,77,9,37,19,3,5,3,0.335,0.117,0.481,0.351,607192.0,tyler glasnow,LAD
607200,401,61,146,118,15,48,15,0.284,0.152,0.364,0.451,607200.0,erick fedde,PIT
607259,382,45,138,122,24,37,17,0.387,0.118,0.361,0.479,607259.0,nick martínez,CIN
607455,144,14,61,31,12,22,4,0.301,0.097,0.424,0.451,607455.0,anthony banda,KC
607481,136,8,57,48,8,11,3,0.277,0.059,0.419,0.493,607481.0,aaron bummer,NYM
607536,348,49,107,107,22,47,25,0.459,0.141,0.307,0.506,607536.0,kyle freeland,MIL
607625,356,50,106,126,20,48,9,0.356,0.14,0.298,0.545,607625.0,seth lugo,KC
607732,8,3,3,1,0,1,1,0.392,0.375,0.375,0.25,607732.0,jacob stallings,COL
608032,140,16,46,41,5,26,4,0.338,0.114,0.329,0.514,608032.0,carlos estévez,KC
608331,425,61,163,125,24,46,23,0.352,0.144,0.384,0.459,608331.0,max fried,CIN
608337,247,28,89,71,15,38,8,0.297,0.113,0.36,0.502,608337.0,lucas giolito,BOS
608371,71,7,31,22,4,3,3,0.476,0.099,0.437,0.408,608371.0,lucas sims,WSH
608372,372,47,144,117,12,40,18,0.357,0.126,0.387,0.454,608372.0,tomoyuki sugano,BAL
